ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518043841.77173,1518043841.45245,20.419068,20.428678,20.488681,20.402767,20.471266,20.528061,20.463956,20.310852,20.443401,20.485902,20.322966,20.380762,20.504648,20.559106,20.432433,20.439923
1518043902.15456,1518043901.83514,20.421162,20.433404,20.485431,20.406075,20.474517,20.531512,20.462684,20.311461,20.450166,20.48232,20.32398,20.382381,20.509912,20.556202,20.432298,20.441004
1518043962.48933,1518043962.17109,20.427103,20.43759,20.487462,20.407493,20.473095,20.536114,20.465363,20.30882,20.446986,20.486713,20.325602,20.385686,20.5089,20.560659,20.431959,20.444584
1518044022.88076,1518044022.55495,20.425685,20.439818,20.486649,20.408033,20.477565,20.53449,20.464023,20.317758,20.448542,20.48482,20.324926,20.389396,20.509642,20.559983,20.430875,20.445868
1518044083.23936,1518044082.91252,20.427171,20.442924,20.489358,20.414446,20.480207,20.536859,20.472461,20.315253,20.449219,20.48624,20.329253,20.391892,20.516054,20.562887,20.433856,20.44607
1518044143.60901,1518044143.28069,20.431019,20.445827,20.492675,20.413433,20.481833,20.538348,20.474469,20.316946,20.449896,20.486848,20.329929,20.39088,20.518011,20.565183,20.436972,20.448165
1518044203.98928,1518044203.66513,20.433855,20.451701,20.495248,20.415324,20.483662,20.539837,20.471925,20.320602,20.453143,20.484347,20.330131,20.390476,20.519428,20.56417,20.436566,20.451475
1518044264.39127,1518044264.04306,20.434328,20.451701,20.496806,20.418632,20.484407,20.543965,20.475876,20.321618,20.450572,20.488875,20.330537,20.39513,20.521251,20.566264,20.440698,20.450596
1518044324.73162,1518044324.39996,20.434868,20.451566,20.496738,20.422682,20.488674,20.542747,20.477282,20.320399,20.455646,20.491241,20.330064,20.397896,20.522128,20.56991,20.443205,20.454717
1518044385.11189,1518044384.78251,20.438244,20.458183,20.498024,20.425517,20.489013,20.545792,20.478554,20.327576,20.456323,20.494147,20.334863,20.400526,20.524355,20.569775,20.442053,20.457081
1518044445.4435,1518044445.1177,20.436421,20.454064,20.497889,20.426328,20.490977,20.549446,20.481902,20.325342,20.459029,20.495634,20.337567,20.40201,20.529214,20.573354,20.445102,20.45796
1518044505.81587,1518044505.49247,20.439527,20.458993,20.501951,20.428488,20.491113,20.550259,20.487727,20.328795,20.463155,20.496174,20.342434,20.403629,20.525975,20.573827,20.447947,20.460054
1518044566.20417,1518044565.88117,20.440337,20.461896,20.501883,20.434496,20.494702,20.550529,20.484513,20.328863,20.459638,20.495634,20.338919,20.406732,20.529619,20.574434,20.446524,20.463701
1518044626.56315,1518044626.24434,20.441687,20.461019,20.506894,20.431256,20.497344,20.552898,20.487459,20.330285,20.466335,20.500026,20.339865,20.408014,20.530699,20.578081,20.451402,20.462418
1518044686.93653,1518044686.6187,20.445536,20.463854,20.505066,20.435913,20.501137,20.553101,20.488598,20.333264,20.464103,20.502392,20.345611,20.410779,20.533331,20.580106,20.453163,20.463431
1518044747.28791,1518044746.96372,20.442903,20.465542,20.506826,20.438749,20.507301,20.557229,20.492347,20.33367,20.469447,20.505027,20.344124,20.410105,20.539202,20.583483,20.453637,20.468633
