######################################################################
#
# LoggerIdentifier    : 0000000C
# Comment             : 
# PC Time             : 24 January 2018 , 21:31:27
# Logger Time         : 24 January 2018 , 21:31:37
# StartBatteryVoltage :      2817 mV
# EndBatteryVoltage   :      2777 mV
# TotalSampleCount    :    300668
# ResistanceOffset    :     11910.90559
# ResistanceScale     :     90895.96966
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2017 12 16 06 10 00     7840    16127.167       38.795
2017 12 16 06 12 00     7840    16127.167       38.795
2017 12 16 06 14 00     7840    16127.167       38.795
2017 12 16 06 16 00     7840    16127.167       38.795
2017 12 16 06 18 00     7841    16128.128       38.794
2017 12 16 06 20 00     7841    16128.128       38.794
2017 12 16 06 22 00     7841    16128.128       38.794
2017 12 16 06 24 00     7841    16128.128       38.794
2017 12 16 06 26 00     7841    16128.128       38.794
2017 12 16 06 28 00     7840    16127.167       38.795
2017 12 16 06 30 00     7841    16128.128       38.794
2017 12 16 06 32 00     7841    16128.128       38.794
2017 12 16 06 34 00     7841    16128.128       38.794
2017 12 16 06 36 00     7841    16128.128       38.794
2017 12 16 06 38 00     7841    16128.128       38.794
2017 12 16 06 40 00     7841    16128.128       38.794
2017 12 16 06 42 00     7841    16128.128       38.794
2017 12 16 06 44 00     7841    16128.128       38.794
2017 12 16 06 46 00     7841    16128.128       38.794
2017 12 16 06 48 00     7842    16129.090       38.793
2017 12 16 06 50 00     7842    16129.090       38.793
2017 12 16 06 52 00     7842    16129.090       38.793
2017 12 16 06 54 00     7841    16128.128       38.794
2017 12 16 06 56 00     7841    16128.128       38.794
2017 12 16 06 58 00     7842    16129.090       38.793
2017 12 16 07 00 00     7842    16129.090       38.793
2017 12 16 07 02 00     7842    16129.090       38.793
2017 12 16 07 04 00     7842    16129.090       38.793
2017 12 16 07 06 00     7842    16129.090       38.793
2017 12 16 07 08 00     7843    16130.051       38.791
2017 12 16 07 10 00     7842    16129.090       38.793
2017 12 16 07 12 00     7843    16130.051       38.791
2017 12 16 07 14 00     7842    16129.090       38.793
2017 12 16 07 16 00     7843    16130.051       38.791
2017 12 16 07 18 00     7843    16130.051       38.791
2017 12 16 07 20 00     7843    16130.051       38.791
